time,temperature_2m,relative_humidity_2m,wind_speed_10m,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,us_aqi
2024-10-12 00:00:00,25.1,71,6.4,82.0,43.3,466.0,20.8,13.0,71.0,91
2024-10-12 01:00:00,25.6,83,4.4,79.4,41.6,611.0,31.8,14.3,60.0,93
2024-10-12 02:00:00,26.1,79,2.3,82.7,44.5,804.0,46.2,16.2,47.0,95
2024-10-12 03:00:00,28.0,67,3.5,91.5,49.1,894.0,52.7,18.8,51.0,97
2024-10-12 04:00:00,31.0,49,5.4,89.6,42.4,782.0,43.3,23.1,87.0,98
2024-10-12 05:00:00,33.9,35,6.3,88.9,41.2,568.0,25.8,28.2,139.0,99
2024-10-12 06:00:00,35.7,27,4.6,85.4,40.7,401.0,12.2,31.3,180.0,100
2024-10-12 07:00:00,36.1,26,9.0,82.7,40.9,342.0,7.3,31.0,199.0,102
2024-10-12 08:00:00,36.0,32,16.9,80.8,40.7,330.0,6.3,28.8,207.0,104
2024-10-12 09:00:00,35.3,36,23.1,75.2,38.0,329.0,6.7,25.8,206.0,106
2024-10-12 10:00:00,35.5,30,25.6,71.9,36.4,328.0,8.1,22.0,195.0,108
2024-10-12 11:00:00,35.4,27,22.4,74.0,38.0,338.0,11.0,17.5,175.0,135
2024-10-12 12:00:00,34.7,32,16.4,71.2,37.6,356.0,13.4,18.2,168.0,159
2024-10-12 13:00:00,32.0,51,14.9,70.8,38.4,375.0,16.5,15.7,148.0,172
2024-10-12 14:00:00,30.5,66,13.4,69.4,38.3,403.0,20.9,12.2,120.0,173
2024-10-12 15:00:00,30.0,69,8.1,68.7,37.8,438.0,25.5,10.0,97.0,164
2024-10-12 16:00:00,29.6,77,8.2,69.8,38.5,484.0,30.1,10.3,83.0,146
2024-10-12 17:00:00,29.2,78,7.6,72.9,40.2,537.0,34.9,11.8,74.0,120
2024-10-12 18:00:00,28.6,81,3.6,76.6,42.6,587.0,39.3,13.2,65.0,114
2024-10-12 19:00:00,28.5,84,7.5,79.6,45.1,636.0,43.5,14.1,54.0,114
2024-10-12 20:00:00,28.3,85,7.7,81.3,46.6,681.0,47.2,14.8,42.0,115
2024-10-12 21:00:00,28.2,85,4.6,79.4,45.9,709.0,49.1,14.9,33.0,115
2024-10-12 22:00:00,27.4,90,3.5,80.1,48.1,692.0,47.6,13.9,26.0,115
2024-10-12 23:00:00,26.9,92,6.6,75.2,45.9,657.0,44.3,12.4,20.0,116
2024-10-13 00:00:00,26.2,93,7.0,50.6,31.4,343.0,17.5,10.3,57.0,116
2024-10-13 01:00:00,26.5,92,7.7,49.4,31.3,413.0,23.6,10.7,51.0,114
2024-10-13 02:00:00,26.4,92,7.0,55.1,36.0,506.0,31.7,11.5,44.0,113
2024-10-13 03:00:00,28.2,81,6.2,51.1,33.6,549.0,35.5,13.8,46.0,112
2024-10-13 04:00:00,30.0,66,3.1,43.5,28.2,495.0,30.9,19.7,64.0,111
2024-10-13 05:00:00,30.6,59,1.0,41.3,26.3,391.0,22.0,27.1,91.0,109
2024-10-13 06:00:00,31.5,54,2.2,40.4,25.0,307.0,14.5,31.2,113.0,108
2024-10-13 07:00:00,33.1,47,4.3,38.8,23.4,269.0,10.1,28.9,128.0,106
2024-10-13 08:00:00,33.6,45,8.0,36.2,21.6,250.0,7.1,23.3,138.0,104
2024-10-13 09:00:00,33.2,49,15.6,31.4,18.6,240.0,5.7,18.5,141.0,102
